title,company,salary,work,place,skills,decriptions
"Lead Quality Control Engineer (QA QC, Tester)",MODEC,"3,000 - 5,000 USD",At office,Ho Chi Minh,"QA QC, Tester, Automation Test, ","First class software engineering culture, Greenfield product, real world problems, Dynamic start-up atmosphere, "
Senior Mobile Engineer (Flutter/iOS),"MONEY FORWARD VIETNAM CO.,LTD",You'll love it,Hybrid,Ho Chi Minh,"Flutter, iOS, ","Hybrid working; Flexible time; Macbook Pro, L&D programs; 17 days off, 13.7 million B2C users; 140,000+ business customer, "
"Senior Tester (QC, Agile)",BlueStars Việt Nam,"600 - 1,000 USD",At office,Ha Noi,"Agile, PostgreSql, SQL, ",
"Senior QA/QC Engineer (Manual, English)",SMG Swiss Marketplace Group,"2,000 - 3,000 USD",Hybrid,Ho Chi Minh,"QA QC, Agile, English, ",
"Mid/Senior Backend Developer (Python, FastAPI, CDN)",BlueStars Việt Nam,"1,000 - 1,400 USD",At office,Ha Noi,"Python, PostgreSql, ",
IT Communicator (Japanese Speaking),Pasona Tech Việt Nam,"500 - 1,000 USD",At office,Ho Chi Minh,"Japanese, Bridge Engineer, ","Cơ hội thăng tiến cao, Môi trường làm việc thân thiện và năng động, Chế độ phúc lợi tốt, "
"Full Stack Developer (Java, JavaScript)",mgm technology partners Vietnam,You'll love it,Hybrid,Ho Chi Minh - Da Nang,"JavaScript, ReactJS, Java, ","Attractive Package, Europe onsite opportunities, Private health care for family, "
"Kỹ sư cầu nối (BrSE, Japanese Speaking)",Pasona Tech Việt Nam,"1,000 - 2,000 USD",At office,Ho Chi Minh,"Bridge Engineer, Japanese, ","Cơ hội thăng tiến cao, Môi trường làm việc thân thiện và năng động, Chế độ phúc lợi tốt, "
"3D Modeler (Maya, Games)",Công ty TNHH Thankslab Việt Nam,You'll love it,At office,Ho Chi Minh,"Games, Designer, English, ",
Backend Developer (NodeJS),RealEstateDoc,You'll love it,At office,Ho Chi Minh,"NodeJS, JavaScript, MySQL, ",
"Junior Programmer (C#, Vue.js, Nuxt.js)",Pasona Tech Việt Nam,You'll love it,At office,Ho Chi Minh,"C#, VueJS, TypeScript, ","High promotion opportunities, Stable and professional working environment, Good company welfare, "
Frontend Developer (Angular /HTML5),RealEstateDoc,Competitive,At office,Ho Chi Minh,"TypeScript, HTML5, Angular, ",
Senior UI/UX Designer,"CJ OLIVENETWORKS VINA CO., LTD","1,000 - 1,500 USD",At office,Ho Chi Minh,"UI-UX, Product Designer, Designer, ",
Graphic Designer,what3words,"1,300 - 1,400 USD",Hybrid,Ho Chi Minh,N/A,"A very clear, global mission, A product already in use across in 190+ countries, Hybrid work, 25 days holiday + 6 weeks remote!, "
Product Manager,what3words,"1,500 - 2,500 USD",Hybrid,Ho Chi Minh,"Product Manager, Agile, English, ","A very clear, global mission, A product already in use across in 190+ countries, Hybrid work, 25 days holiday + 6 weeks remote!, "
IBM Maximo Developer,LG CNS Việt Nam,You'll love it,At office,Ha Noi,"Java, JavaScript, Python, ","Salary and bonus based on ability, Young and fun working environment, Opportunities to study and work abroad., "
Accolade Engineer (Backend/Frontend),LG CNS Việt Nam,You'll love it,At office,Ha Noi,"Python, Spring Boot, Java, ","Salary and bonus based on ability, Young and fun working environment, Opportunities to study and work abroad., "
"TeamCenter Engineer (ActiveWorkspace, BMIDE, React)",LG CNS Việt Nam,You'll love it,At office,Ha Noi,"Java, C++, C#, ","Salary and bonus based on ability, Young and fun working environment, Opportunities to study and work abroad., "
Technical Project Manager - eKYC,Trusting Social,You'll love it,At office,Ho Chi Minh,"Project Manager, Agile, ","Top Salary, Awesome Benefits, Premium healthcare for 3 members in family, Grab to work, Lunch allowance for all employee, "
"2 Middle PHP Developer (Laravel, OOP)",DKIV,You'll love it,At office,Ho Chi Minh,"PHP, JavaScript, Laravel, ",
Senior DevOps Engineer,DatVietVAC,You'll love it,At office,Ho Chi Minh,"DevOps, System Engineer, ",
Product Owner,VETC Viet Nam Joint Stock Company,"1,300 - 1,800 USD",At office,Ho Chi Minh,"Product Owner, UI-UX, ",
Senior DevOps Engineer/Linux System Administrator (GCP),GHN,You'll love it,At office,Ho Chi Minh,"DevOps, GCP, Linux, ",
IT COMTOR (Japanese N1) - Up to 40M,Dr.JOY,"800 - 1,600 USD",At office,Ha Noi,"Japanese, IT Support, ",
C++ Software Developer (minimum 8-10 years experience),Grasshopper Asia,>50-70mil vnd gross,Hybrid,Ho Chi Minh,"C++, English, Python, ",
Azure DevOps Engineer (Cloud),MEGAZONE,You'll love it,At office,Ha Noi,"DevOps, Cloud, Azure, ",
C/C++ Developer,Splus Software Vietnam,You'll love it,At office,Ho Chi Minh,"C++, Database, C language, ",
Gấp - Bridge Engineer upto 3000 USD,CO-WELL ASIA,"2,000 - 3,000 USD",At office,Ha Noi,"Bridge Engineer, Project Manager, Japanese, ","Dự án product thị trường Nhật, domain về mảng EC, Chúng tôi đang đầu tư build team tại Việt Nam, Đã IPO năm 2022, muốn mở rộng dịch vụ sang Châu Á, "
Senior Manual Software Tester (QA/QC 4yrs Exp),Rakus Vietnam Company,"1,300 - 1,600 USD",At office,Ho Chi Minh,"QA QC, Tester, ",
Senior Solution Architect,Techcombank,You'll love it,At office,Ha Noi,"Solution Architect, Cloud, Java, ",
IT Project Manager,Techcombank,You'll love it,At office,Ha Noi,"Project Manager, Data Warehousing, Agile, ",
Enterprise Architect,Techcombank,You'll love it,At office,Ha Noi,"Software Architect, Team Leader, Solution Architect, ",
"Shopify Developer (HTML, JavaScript, CSS)",Digital Outlook,You'll love it,At office,Ha Noi,"JavaScript, Shopify, CSS, ",
