web-scraper-order,web-scraper-start-url,links-href,Name,Brand,Prices,CPU,GPU,RAM,ROM,Screen,Weight,Os_sys
1,https://laptopaz.vn/laptop-moi.html,https://laptopaz.vn/new-100-lenovo-loq-2024-15arp9-ryzen-7-7435hs-16gb-512gb-rtx-4060-8gb-15.6quot-fhd-144hz.html,"[New 100%] Lenovo LOQ 2024 15ARP9 (Ryzen 7-7435HS, 16GB, 512GB, RTX 4060 8GB, 15.6"" FHD 144Hz)",Lenovo,21.890.000,"AMD Ryzen™ 7 7435HS (3.10GHz up to 4.50GHz, 4MB L2 / 16MB L3 Cache)","NVIDIA® GeForce RTX™ 4060 8GB GDDR6, Boost Clock 2370MHz, TGP 105W",16GB DDR5 4800 SODIMM,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,"15.6"" FHD (1920x1080) IPS 300nits Anti-glare, 100% sRGB, 144Hz, G-SYNC®",~2.4 kg,Windows 11 b?n quy?n
2,https://laptopaz.vn/laptop-moi.html,https://laptopaz.vn/new-100-lenovo-legion-5-r7000-2024-15ahp9-ryzen-7-8745h-16gb-512gb-rtx-4060-8gb-15.6-fhd-144hz.html,"[New 100%] Lenovo Legion 5 R7000 2024 15AHP9 (Ryzen 7-8745H, 16GB, 512GB, RTX 4060 8GB, 15.6'' FHD 144Hz)",Lenovo,23.990.000,"Ryzen 7-8745H (8 nhân 16 lu?ng, t?n s? c? b?n 3.8GHz, có th? ??t t?i 4.9GHz v?i turbo boost, b? nh? ??m 8MB L2 / 16MB L3, 4nm, TDP 35-54W)",NVIDIA Geforce RTX 4060 8GB GDDR6 (125W),16 GB DDR5 5600MHz,512GB PCIe NVMe M.2 SSD Gen 4,"15.6"" (1920x1080) IPS, 300nits, 100% sRGB, 144Hz",2.4 kg,Windows b?n quy?n
3,https://laptopaz.vn/laptop-moi.html,https://laptopaz.vn/new-100-lenovo-loq-2024-15arp9-ryzen-7-7435hs-16gb-512gb-rtx-4050-6gb-15.6quot-fhd-144hz.html,"[New 100%] Lenovo LOQ 2024 15ARP9 (Ryzen 7-7435HS, 16GB, 512GB, RTX 4050 6GB, 15.6"" FHD 144Hz)",Lenovo,20.890.000,"AMD Ryzen™ 7 7435HS (3.10GHz up to 4.50GHz, 4MB L2 / 16MB L3 Cache)",NVIDIA® GeForce RTX™ 4050 6GB GDDR6,16GB DDR5 4800 SODIMM,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,"15.6"" FHD (1920x1080) IPS 300nits Anti-glare, 100% sRGB, 144Hz, G-SYNC®",~2.4 kg,Windows 11 b?n quy?n
4,https://laptopaz.vn/laptop-moi.html,https://laptopaz.vn/new-100-lenovo-thinkbook-14-g6-2024-ryzen-7-8845h-32gb-1tb-14.0quot-2k-ips-120hz.html,"[New 100%] Lenovo Thinkbook 14 G6+ 2024 (Ryzen 7-8845H, 32GB, 1TB, 14.0"" 2K+ IPS 120Hz)",Lenovo,21.890.000,"AMD Ryzen 7 8845H (3.8 GHz up to 5.1 Hz, 8 Cores, 16 Threads, 16MB Cache)",AMD Graphics,32GB LPDDR5x 7500MT/s,1TB SSD PCIe 4.0,"14.5?, 2.5K+ (2560x1600) IPS, LED, 120Hz, 100% sRGB",1.5 kg,Windows 11 b?n quy?n
5,https://laptopaz.vn/laptop-moi.html,https://laptopaz.vn/new-100-lenovo-legion-5-r7000-2024-15ahp9-ryzen-7-8745h-16gb-512gb-rtx-4050-6gb-15.6-fhd-144hz.html,"[New 100%] Lenovo Legion 5 R7000 2024 15AHP9 (Ryzen 7-8745H, 16GB, 512GB, RTX 4050 6GB, 15.6'' FHD 144Hz)",Lenovo,22.990.000,"Ryzen 7-8745H (8 nhân 16 lu?ng, t?n s? c? b?n 3.8GHz, có th? ??t t?i 4.9GHz v?i turbo boost, b? nh? ??m 8MB L2 / 16MB L3, 4nm, TDP 35-54W)",NVIDIA Geforce RTX 4050 6GB GDDR6,16 GB DDR5 5600MHz,512GB PCIe NVMe M.2 SSD Gen 4,"15.6"" (1920x1080) IPS, 300nits, 100% sRGB, 144Hz",2.4 kg,Windows b?n quy?n
6,https://laptopaz.vn/laptop-moi.html,https://laptopaz.vn/new-100-acer-predator-helios-neo-2024-hn16-72-7148-core-i7-14650hx-16gb-1tb-rtx-4060-8gb-16quot-2k-165hz.html,"[New 100%] Acer Predator Helios Neo 2024 HN16-72-7148 (Core i7-14650HX, 16GB, 1TB, RTX 4060 8GB, 16"" 2K+ 165Hz)",Acer,29.990.000,"14th Generation Intel® Core™ i7-14650HX, 16C (8P + 8E) / 24T, P-core up to 5.2GHz, E-core up to 3.7GHz, 30MB Cache",NVIDIA GeForce RTX 4060 8GB 140W,16 GB DDR5 5600MHz,1TB PCIe NVMe SSD,"16? 2K+ (2560×1600) IPS 165Hz, sRGB 100%, 500 nits",2.6 kg,Windows 11
7,https://laptopaz.vn/laptop-moi.html,https://laptopaz.vn/dell-inspiron-14-5430-core-i5-1340p-16gb-512gb-iris-xe-graphics-14quot-2k.html,"[New 100%] Dell Inspiron 14 5430 (Core i5-1340P, 16GB, 512GB, Iris Xe Graphics, 14"" 2.5K)",Dell,15.390.000,"Intel core i5-1340P (12 cores, 16 Threads, up to 4.6GHz, 12MB cache)",Intel Iris Xe Graphics,16GB LPDDR5,SSD 512GB M.2 NVMe,"14"" 2.5K+  16:10",1.55 kg,Window 11 b?n quy?n
8,https://laptopaz.vn/laptop-moi.html,https://laptopaz.vn/new-outlet-acer-nitro-v-15-anv15-51-73b9-core-i7-13620h-16gb-512gb-rtx-4060-15.6quot-fhd-ips-144hz.html,"[New Outlet] Acer Nitro V 15 ANV15-51-73B9 (Core i7 - 13620H, 16GB, 512GB, RTX 4060 , 15.6"" FHD IPS 144Hz)",Acer,21.490.000,"Intel® Core™ i7-13620H (2.40GHz up to 4.90GHz, 24MB Cache)",NVIDIA® GeForce RTX™ 4060 GDDR6,"16GB DDR5 5200MHz (2 khe, t?i ?a 32GB)",512GB PCIe NVMe SSD,15.6 inch FHD(1920 x 1080) IPS 144Hz SlimBezel,~2.1 kg,Windows 11 Home b?n quy?n
9,https://laptopaz.vn/laptop-moi.html,https://laptopaz.vn/new-100-hp-envy-x360-2in1-16-ac0013dx-2024-core-ultra-5-125u-16gb-512gb-intel-graphics-16quot-fhd-touch.html,"[New 100%] HP Envy x360 2-in-1 16-ac0013dx 2024 (Core Ultra 5 125U, 16GB, 512GB, Intel Graphics, 16"" FHD+ Touch)",HP,15.890.000,"Intel® Core™ Ultra 5 125U 12-Core Up to 4.3 GHz with Intel® Turbo Boost, 12 MB L3 cache",Intel Graphics,16GB LPDDR5-6400MHz (onboard),512GB M.2 PCIe NVMe SSD,"16inch WUXGA (1920 x 1200) IPS, Touch-Screen, multitouch-enabled",1.87kg,Windows 11 b?n quy?n
10,https://laptopaz.vn/laptop-moi.html,https://laptopaz.vn/new-100-hp-envy-x360-2in1-16-ac0023dx-2024-core-ultra-7-155u-16gb-512gb-16quot-fhd-touch.html,"[New 100%] HP Envy x360 2-in-1 16-ac0023dx 2024 (Core Ultra 7 155U, 16GB, 512GB, 16"" FHD+ Touch)",HP,21.890.000,"Intel® Core™ Ultra 7 155U Up to 4.8GHz with Intel® Turbo Boost, 12 MB L3 cache",Intel Graphics,16GB LPDDR5-6400MHz (onboard),512GB M.2 PCIe NVMe SSD,"16inch FHD+ (1920 x 1200) IPS, Touch-Screen, multitouch-enabled",1.87kg,Windows 11 b?n quy?n
