title,company,place,publish day,field,employee status,salary,experiment,level,due day,welfares
N/A,Lưu việc làm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Chế độ bảo hiểm. Du Lịch. Phụ cấp. Du lịch nước ngoài. Đồng phục. Chế độ thưởng. Chăm sóc sức khỏe. Đào tạo. Tăng lương. Công tác phí. Phụ cấp thâm niên. Nghỉ phép năm. 
Nhân viên thu mua (Ngành thời trang),Công ty TNHH Minh Hương P.N.D (thương hiệu thời trang mặc nhà cao cấp Sunfly),Hà Nội,26/03/2025,Dệt may / Da giày / Thời trang. Thu mua / Vật tư. Ngành khác. ,Nhân viên chính thức,11 Tr - 15 Tr VND,2 - 5 Năm,Nhân viên,26/04/2025,Chế độ bảo hiểm. Du Lịch. Phụ cấp. Chế độ thưởng. Đào tạo. Tăng lương. Công tác phí. Phụ cấp thâm niên. Nghỉ phép năm. 
Legal Executive,Công Ty TNHH Taisun Việt Nam,Hồ Chí Minh,26/03/2025,Luật / Pháp lý. ,Nhân viên chính thức,12 Tr - 14 Tr VND,2 - 3 Năm,Nhân viên,26/04/2025,Chế độ bảo hiểm. Du Lịch. Phụ cấp. Đồng phục. Chế độ thưởng. Chăm sóc sức khỏe. Đào tạo. Tăng lương. Công tác phí. Phụ cấp thâm niên. Nghỉ phép năm. 
Sales Executive,"UNIEXPORT CO., LTD",Hồ Chí Minh,26/03/2025,Bán hàng / Kinh doanh. Xuất nhập khẩu. Sản xuất / Vận hành sản xuất. ,Nhân viên chính thức,Cạnh tranh,2 - 3 Năm,Nhân viên,26/04/2025,Chế độ bảo hiểm. Du Lịch. Chế độ thưởng. Chăm sóc sức khỏe. Đào tạo. Tăng lương. Nghỉ phép năm. 
Sales Support Executive,"UNIEXPORT CO., LTD",Hồ Chí Minh,26/03/2025,Bán hàng / Kinh doanh. Xuất nhập khẩu. Sản xuất / Vận hành sản xuất. ,Nhân viên chính thức,Cạnh tranh,1 - 2 Năm,Nhân viên,26/04/2025,Chế độ bảo hiểm. Du Lịch. Chế độ thưởng. Chăm sóc sức khỏe. Đào tạo. Tăng lương. Nghỉ phép năm. 
DRIPCARE GLOBAL - Nhân Viên Telesale,DRIP HYDRATION,Hồ Chí Minh,26/03/2025,Bán hàng / Kinh doanh. Y tế / Chăm sóc sức khỏe / Thẩm mỹ / Làm đẹp. Tư vấn. ,Nhân viên chính thức,15 Tr - 40 Tr VND,1 - 2 Năm,Nhân viên,31/05/2025,Chế độ bảo hiểm. Du Lịch. Chế độ thưởng. Chăm sóc sức khỏe. Đào tạo. Tăng lương. 
Giảng Viên Quản Trị Mạng Và Quản Trị Hệ Thống (Full-time),Chương trình Học viện Công nghệ BKACAD,Hà Nội,26/03/2025,Giáo dục / Đào tạo. CNTT - Phần mềm. CNTT - Phần cứng / Mạng. ,Nhân viên chính thức,20 Tr - 60 Tr VND,Nhân viên,30/04/2025,N/A,Chế độ bảo hiểm. Du Lịch. Phụ cấp. Du lịch nước ngoài. Đồng phục. Chế độ thưởng. Chăm sóc sức khỏe. Đào tạo. Tăng lương. Nghỉ phép năm. CLB thể thao. 
Chuyên viên xuất nhập khẩu,Công Ty TNHH Nhãn Mác SMT (Việt Nam),Hồ Chí Minh,26/03/2025,Bán hàng / Kinh doanh. Xuất nhập khẩu. Dệt may / Da giày / Thời trang. ,Nhân viên chính thức,10 Tr - 20 Tr VND,2 - 5 Năm,Nhân viên,25/04/2025,Chế độ bảo hiểm. Du Lịch. Phụ cấp. Chế độ thưởng. Chăm sóc sức khỏe. Đào tạo. Tăng lương. Công tác phí. Nghỉ phép năm. 
Kế Toán Xưởng,CÔNG TY CỔ PHẦN Ô TÔ KCV THĂNG LONG,Hà Nội,26/03/2025,Kế toán / Kiểm toán. ,Nhân viên chính thức,8 Tr - 10 Tr VND,Trên 3 Năm,Nhân viên,26/04/2025,Chế độ bảo hiểm. Du Lịch. Chế độ thưởng. Chăm sóc sức khỏe. Đào tạo. Tăng lương. 
"Kỹ thuật – Bảo Trì (HCM, Hà Nội, Đà Nẵng)",CÔNG TY TNHH SẢN XUẤT VÀ THƯƠNG MẠI UNITED VISION,Hà Nội,17/03/2025,Điện / Điện tử / Điện lạnh / Điện công nghiệp. Bảo trì / Sửa chữa. ,Nhân viên chính thức,Cạnh tranh,1 - 5 Năm,Nhân viên,09/04/2025,Chế độ bảo hiểm. Phụ cấp. Đồng phục. Chế độ thưởng. Đào tạo. Tăng lương. Công tác phí. Nghỉ phép năm. 
Nhân Viên Xuất Nhập Khẩu - Cơ Khí Xây Dựng,ATAD Steel Structure Corporation,Hồ Chí Minh,26/03/2025,Thu mua / Vật tư. Cơ khí / Ô tô / Tự động hóa. Xuất nhập khẩu. ,Nhân viên chính thức,Cạnh tranh,1 - 2 Năm,Nhân viên,26/04/2025,Laptop. Chế độ bảo hiểm. Du Lịch. Phụ cấp. Đồng phục. Chế độ thưởng. Chăm sóc sức khỏe. Đào tạo. Tăng lương. Nghỉ phép năm. 
Nhân Viên Y Tế (Cashew),Công ty TNHH Olam Việt Nam,Đồng Nai,26/03/2025,Y tế / Chăm sóc sức khỏe / Thẩm mỹ / Làm đẹp. Dược phẩm/ Hóa Mỹ Phẩm. ,Nhân viên chính thức,Cạnh tranh,1 - 2 Năm,Nhân viên,26/04/2025,Chế độ bảo hiểm. Du Lịch. Chế độ thưởng. Chăm sóc sức khỏe. Đào tạo. Tăng lương. 
